name,_L,_a,_b
Camel,66.14553923322053,8.36593472449726,30.15593512235959
Cameo_Pink,80.87939800582612,21.26551649394215,-1.3421720260068604
Camouflage_Green,54.137943641572605,-10.355198408799337,12.863611369975668
Canary_Yellow,93.012971828878,-13.857941192367552,91.47731337712158
Candy_Apple_Red,53.4285384016753,79.54762260953818,67.26772924461066
Candy_Pink,61.40633614234024,45.414087607659916,16.168667735426865
Capri,72.54579227907962,-17.662129049820397,-42.536469581420036
Caput_Mortuum,22.58313753587864,22.360559222992737,15.503516860815514
Cardinal,42.723339838078644,62.89197556793835,28.487440183752955
Caribbean_Green,73.20829911702397,-54.46483004095748,13.658243987419993
Carmine,30.7647373533883,54.341539203938474,33.140192778116024
Carmine_M&P,45.389296512190015,71.81587707639481,28.95943098074514
Carmine_Pink,55.308294965025055,60.437394545542254,40.437905947032135
Carmine_Red,53.54894535596111,80.93352790447994,45.13331694571152
Carnation_Pink,77.72908700629148,37.455512599176565,-4.150109945748426
Carnelian,38.63794372665887,57.77800543897468,41.052320663979046
Carolina_Blue,74.25920006556564,-3.016010630331689,-21.147779044504446
Carrot_Orange,68.29240461076444,27.315286432426646,67.33735645756356
Catalina_Blue,20.243239482168782,21.82643410341678,-47.534565119253536
Ceil,66.59962113226028,5.252386448841961,-25.20312816638828
Celadon,84.85074023646094,-26.619791914557712,19.0600588415611
Celadon_Blue,48.20195779951655,-12.33117107784787,-31.440440165896977
Celadon_Green,50.16930049728225,-27.20291866116642,-3.1989294520383904
Celeste_Colour,95.2455263386393,-23.36999571049064,-7.533756812207204
Celestial_Blue,59.97990416012114,-6.312556525066126,-36.31911584369094
Cerise,50.25355785862776,67.5328270263591,14.171196450972756
Cerise_Pink,54.66267145577066,70.90963729342653,1.5078698470969432
Cerulean,48.20195779951655,-12.33117107784787,-31.440440165896977
Cerulean_Blue,38.27465058443442,25.39453706605993,-60.702010699982736
Cerulean_Frost,62.19583858913167,-4.856978246574273,-25.476250128298126
Cg_Blue,47.79518691805158,-12.516282287959369,-30.91000195288929
Cg_Red,51.04304958918445,62.13861907250246,44.460898634792315
Chamoisee,53.649520025235674,11.634306435156837,22.53715618755202
Champagne,87.55136707050663,5.75665150872906,28.884047635222853
Charcoal,28.39270132032805,-3.2517609150688465,-7.9553687547444625
Charm_Pink,69.07578043314214,36.658687953247835,-1.1864217603270832
Chartreuse_Traditional,94.82696683310941,-34.50699653341777,91.73275907735575
Chartreuse_Web,89.87305127975559,-68.06668461367215,85.78031794704809
Cherry,50.25355785862776,67.5328270263591,14.171196450972756
Cherry_Blossom_Pink,81.38037720304303,27.99928010065894,3.3544938271627966
Chestnut,53.39501088395025,44.82754515678589,22.119029319838447
China_Pink,61.19868337495265,48.816544957684,-6.6813248505877665
China_Rose,46.09295749890197,38.91545657775469,0.3118235691188964
Chinese_Red,40.362346653811436,45.39812105109875,40.4667644721847
Chocolate_Traditional,33.49321687137717,22.290803168083684,43.79569184517737
Chocolate_Web,55.99003936524444,37.052073673644934,56.74110382445654
Chrome_Yellow,75.39093473701885,22.889635927555886,79.24771129931891
Cinereous,55.8937481230936,7.775801988108677,6.515920833822086
